273: 1/1/2015 14:30 33.06, -96.81 Freezing Rain
274: 1/1/2015 14:37 33.10, -97.12 Rain
275: 1/1/2015 14:38 33.10, -97.12 Rain
276: 1/1/2015 14:39 38.78, -77.29 None
277: 1/1/2015 14:41 32.87, -97.43 Rain
278: 1/1/2015 14:42 43.19, -78.79 Snow
279: 1/1/2015 14:44 33.18, -97.73 Freezing Rain
280: 1/1/2015 14:45 42.99, -85.81 None
281: 1/1/2015 14:47 32.30, -110.82 Test
282: 1/1/2015 14:47 32.44, -98.99 Freezing Drizzle
283: 1/1/2015 14:48 45.37, -84.96 Snow
284: 1/1/2015 14:48 41.44, -88.58 Test
285: 1/1/2015 14:49 33.50, -96.62 Freezing Rain
286: 1/1/2015 14:49 41.44, -88.58 Test
287: 1/1/2015 14:50 32.14, -97.88 Freezing Rain
288: 1/1/2015 14:51 32.89, -97.37 Rain
289: 1/1/2015 14:51 33.08, -96.74 Freezing Rain
290: 1/1/2015 14:52 45.41, -92.53 Snow
291: 1/1/2015 14:54 44.51, -88.47 Snow
292: 1/1/2015 14:54 44.95, -123.08 None
293: 1/1/2015 15:01 29.52, -98.71 Drizzle
294: 1/1/2015 15:02 45.18, -93.27 Snow
295: 1/1/2015 15:02 32.72, -97.11 Rain
296: 1/1/2015 15:05 32.96, -97.27 Freezing Rain
297: 1/1/2015 15:08 32.73, -97.39 Drizzle
298: 1/1/2015 15:08 31.74, -97.55 Drizzle
299: 1/1/2015 15:08 33.45, -84.49 None
300: 1/1/2015 15:11 32.87, -97.43 Rain
301: 1/1/2015 15:13 33.98, -95.53 Rain
302: 1/1/2015 15:16 33.11, -96.65 Rain
303: 1/1/2015 15:19 33.21, -96.73 Freezing Rain
304: 1/1/2015 15:22 28.85, -98.71 Drizzle
305: 1/1/2015 15:24 36.80, -95.93 None
306: 1/1/2015 15:26 39.18, -76.66 None
307: 1/1/2015 15:28 35.71, -105.95 None
308: 1/1/2015 15:28 33.65, -95.51 Rain
309: 1/1/2015 15:29 32.89, -96.78 Drizzle
310: 1/1/2015 15:33 35.15, -97.64 None
311: 1/1/2015 15:37 45.38, -93.43 Snow
312: 1/1/2015 15:39 33.86, -98.50 Freezing Drizzle
313: 1/1/2015 15:40 32.61, -97.15 Rain
314: 1/1/2015 15:40 32.94, -117.24 Test
315: 1/1/2015 15:43 43.03, -78.95 Snow
316: 1/1/2015 15:43 32.85, -97.15 Rain
317: 1/1/2015 15:43 37.41, -97.32 Rain
318: 1/1/2015 15:43 37.41, -97.32 Rain
319: 1/1/2015 15:46 33.87, -98.51 Rain
320: 1/1/2015 15:46 34.38, -96.43 Rain
321: 1/1/2015 15:47 41.20, -96.19 Test
322: 1/1/2015 15:47 33.86, -98.50 Freezing Rain
323: 1/1/2015 15:49 33.86, -98.49 Freezing Rain
324: 1/1/2015 15:50 32.99, -96.66 Rain/Ice Pellets
325: 1/1/2015 15:51 33.86, -98.48 Freezing Rain
326: 1/1/2015 15:51 34.35, -96.25 Freezing Rain
327: 1/1/2015 15:56 34.13, -96.26 Freezing Rain
328: 1/1/2015 15:57 34.20, -78.10 None
329: 1/1/2015 15:58 32.90, -97.28 Freezing Rain
330: 1/1/2015 18:05 35.21, -97.57 None
331: 1/1/2015 16:02 32.93, -96.86 Rain
332: 1/1/2015 16:03 33.18, -96.98 Rain
333: 1/1/2015 16:03 31.74, -97.55 None
334: 1/1/2015 16:04 28.85, -98.71 Drizzle
335: 1/1/2015 16:04 35.15, -97.64 Freezing Drizzle
336: 1/1/2015 16:05 43.15, -115.69 Snow
337: 1/1/2015 16:08 32.97, -96.47 Rain
338: 1/1/2015 16:10 30.55, -97.63 Drizzle
339: 1/1/2015 16:10 33.45, -96.74 Rain
340: 1/1/2015 16:12 34.25, -96.70 Freezing Rain
341: 1/1/2015 16:13 33.86, -98.49 Freezing Rain
342: 1/1/2015 16:14 33.45, -96.74 Rain
343: 1/1/2015 16:15 33.45, -96.74 Freezing Rain
344: 1/1/2015 16:17 34.27, -97.07 Freezing Rain
345: 1/1/2015 16:17 35.82, -90.67 Rain
346: 1/1/2015 16:18 28.85, -98.71 Drizzle
347: 1/1/2015 16:19 39.41, -74.71 None
348: 1/1/2015 16:19 32.81, -96.58 Rain
349: 1/1/2015 16:20 30.38, -97.69 Drizzle
350: 1/1/2015 16:21 33.45, -96.74 Freezing Rain
351: 1/1/2015 16:21 32.92, -96.57 Rain
352: 1/1/2015 16:20 30.38, -97.69 Drizzle
353: 1/1/2015 16:29 32.88, -96.74 Ice Pellets
354: 1/1/2015 16:30 33.45, -96.74 Freezing Rain
355: 1/1/2015 16:33 33.45, -96.74 Freezing Rain
356: 1/1/2015 16:37 36.06, -78.41 None
357: 1/1/2015 16:37 33.45, -96.74 Freezing Rain
358: 1/1/2015 16:38 32.44, -98.99 None
359: 1/1/2015 16:40 43.65, -116.59 Snow
360: 1/1/2015 16:40 35.18, -97.50 None
361: 1/1/2015 16:42 33.45, -96.74 Freezing Rain
362: 1/1/2015 15:13 33.98, -95.53 Rain
363: 1/1/2015 16:45 45.37, -84.96 Snow
